Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.31     0.00   335184     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      0.31     0.00   335184     0.00     0.00  unsigned int std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int)
  0.00      0.31     0.00   335184     0.00     0.00  std::uniform_int_distribution<int>::uniform_int_distribution(int, int)
  0.00      0.31     0.00   335184     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.31     0.00   306080     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00      0.31     0.00   253414     0.00     0.00  Wolf&& std::forward<Wolf>(std::remove_reference<Wolf>::type&)
  0.00      0.31     0.00   226903     0.00     0.00  Sheep&& std::forward<Sheep>(std::remove_reference<Sheep>::type&)
  0.00      0.31     0.00   186498     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >::base() const
  0.00      0.31     0.00   182012     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::size() const
  0.00      0.31     0.00   172060     0.00     0.00  Wolf const& std::forward<Wolf const&>(std::remove_reference<Wolf const&>::type&)
  0.00      0.31     0.00   171704     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::end()
  0.00      0.31     0.00   168658     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::begin()
  0.00      0.31     0.00   167566     0.00     0.00  __gnu_cxx::__normal_iterator<Wolf*, std::vector<Wolf, std::allocator<Wolf> > >::operator*() const
  0.00      0.31     0.00   164661     0.00     0.00  Animal::move()
  0.00      0.31     0.00   164633     0.00     0.00  bool __gnu_cxx::operator!=<Wolf*, std::vector<Wolf, std::allocator<Wolf> > >(__gnu_cxx::__normal_iterator<Wolf*, std::vector<Wolf, std::allocator<Wolf> > > const&, __gnu_cxx::__normal_iterator<Wolf*, std::vector<Wolf, std::allocator<Wolf> > > const&)
  0.00      0.31     0.00   164590     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >::__normal_iterator(Sheep const* const&)
  0.00      0.31     0.00   163632     0.00     0.00  __gnu_cxx::__normal_iterator<Wolf*, std::vector<Wolf, std::allocator<Wolf> > >::operator++()
  0.00      0.31     0.00   163488     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > > std::__miter_base<__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > > >(__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.31     0.00   163488     0.00     0.00  Sheep* std::__niter_base<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >(__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.31     0.00   163488     0.00     0.00  Sheep const* std::__niter_base<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >(__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.31     0.00   157016     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      0.31     0.00   153040     0.00     0.00  rand_double()
  0.00      0.31     0.00   153040     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00      0.31     0.00   153040     0.00     0.00  std::uniform_real_distribution<double>::param_type::param_type(double, double)
  0.00      0.31     0.00   153040     0.00     0.00  std::uniform_real_distribution<double>::uniform_real_distribution(double, double)
  0.00      0.31     0.00   153040     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  0.00      0.31     0.00   153040     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.31     0.00   153040     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.00      0.31     0.00   153040     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.31     0.00   124649     0.00     0.00  void __gnu_cxx::new_allocator<Wolf>::construct<Wolf, Wolf>(Wolf*, Wolf&&)
  0.00      0.31     0.00   124649     0.00     0.00  void std::allocator_traits<std::allocator<Wolf> >::construct<Wolf, Wolf>(std::allocator<Wolf>&, Wolf*, Wolf&&)
  0.00      0.31     0.00   124649     0.00     0.00  std::remove_reference<Wolf&>::type&& std::move<Wolf&>(Wolf&)
  0.00      0.31     0.00   120715     0.00     0.00  void __gnu_cxx::new_allocator<Wolf>::destroy<Wolf>(Wolf*)
  0.00      0.31     0.00   120715     0.00     0.00  void std::allocator_traits<std::allocator<Wolf> >::destroy<Wolf>(std::allocator<Wolf>&, Wolf*)
  0.00      0.31     0.00   120715     0.00     0.00  void std::__relocate_object_a<Wolf, Wolf, std::allocator<Wolf> >(Wolf*, Wolf*, std::allocator<Wolf>&)
  0.00      0.31     0.00   111857     0.00     0.00  void __gnu_cxx::new_allocator<Sheep>::construct<Sheep, Sheep>(Sheep*, Sheep&&)
  0.00      0.31     0.00   111857     0.00     0.00  void std::allocator_traits<std::allocator<Sheep> >::construct<Sheep, Sheep>(std::allocator<Sheep>&, Sheep*, Sheep&&)
  0.00      0.31     0.00   108811     0.00     0.00  void __gnu_cxx::new_allocator<Sheep>::destroy<Sheep>(Sheep*)
  0.00      0.31     0.00   108811     0.00     0.00  void std::allocator_traits<std::allocator<Sheep> >::destroy<Sheep>(std::allocator<Sheep>&, Sheep*)
  0.00      0.31     0.00   108811     0.00     0.00  void std::__relocate_object_a<Sheep, Sheep, std::allocator<Sheep> >(Sheep*, Sheep*, std::allocator<Sheep>&)
  0.00      0.31     0.00    82295     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::end() const
  0.00      0.31     0.00    82295     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::begin() const
  0.00      0.31     0.00    82210     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Sheep*>(Sheep*, Sheep*)
  0.00      0.31     0.00    82210     0.00     0.00  void std::_Destroy<Sheep*>(Sheep*, Sheep*)
  0.00      0.31     0.00    82210     0.00     0.00  void std::_Destroy<Sheep*, Sheep>(Sheep*, Sheep*, std::allocator<Sheep>&)
  0.00      0.31     0.00    82158     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Sheep>, Sheep>::_S_propagate_on_copy_assign()
  0.00      0.31     0.00    82158     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::capacity() const
  0.00      0.31     0.00    81744     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >::operator+(long) const
  0.00      0.31     0.00    81744     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > >(__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.31     0.00    81744     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, Sheep*>(__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, Sheep*)
  0.00      0.31     0.00    81744     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > std::__copy_move_a<false, __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > >(__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.31     0.00    81744     0.00     0.00  Sheep* std::__copy_move_a1<false, Sheep const*, Sheep*>(Sheep const*, Sheep const*, Sheep*)
  0.00      0.31     0.00    81744     0.00     0.00  Sheep* std::__copy_move_a2<false, Sheep const*, Sheep*>(Sheep const*, Sheep const*, Sheep*)
  0.00      0.31     0.00    81744     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > std::copy<__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > >(__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.31     0.00    81744     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > >(__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.31     0.00    81744     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, Sheep>(__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, std::allocator<Sheep>&)
  0.00      0.31     0.00    81658     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::_M_erase_at_end(Sheep*)
  0.00      0.31     0.00    81658     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::clear()
  0.00      0.31     0.00    78040     0.00     0.00  void __gnu_cxx::new_allocator<Wolf>::construct<Wolf, Wolf const&>(Wolf*, Wolf const&)
  0.00      0.31     0.00    78040     0.00     0.00  void std::allocator_traits<std::allocator<Wolf> >::construct<Wolf, Wolf const&>(std::allocator<Wolf>&, Wolf*, Wolf const&)
  0.00      0.31     0.00    78040     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::push_back(Wolf const&)
  0.00      0.31     0.00    76173     0.00     0.00  Sheep::eatGrass(Patch&)
  0.00      0.31     0.00    26619     0.00     0.00  Sheep* std::__niter_base<Sheep*>(Sheep*)
